,prompt,chosen,rejected,diff,source_index
198,THE ZOMBIE," -theermault show, circa 1978 look a little worse,Arthur opted to"," (1939), written by John Ryders, a young California Jew,",0.002973914146423451,33
199,THE ZOMBIE," INTO DUTCH games have never been more divine. You see, the reason"," (1939), written by John Ryders, a young California Jew,",0.007072925567627064,33
200,THE ZOMBIE, video games. Also a Japanese remake  kindly released on a video collection item," (1939), written by John Ryders, a young California Jew,",0.0045400261878966175,33
201,THE ZOMBIE," INTO DUTCH games have never been more divine. You see, the reason"," -theermault show, circa 1978 look a little worse,Arthur opted to",0.004099011421203613,33
202,THE ZOMBIE, video games. Also a Japanese remake  kindly released on a video collection item," -theermault show, circa 1978 look a little worse,Arthur opted to",0.0015661120414731666,33
203,THE ZOMBIE," INTO DUTCH games have never been more divine. You see, the reason", video games. Also a Japanese remake  kindly released on a video collection item,0.0025328993797304467,33
204,A woman asks," me, ""What is history?"" (""So I remember...essay!"")",": ""What had happened to you during my time at work?"" George asks.",0.010716272518038701,34
205,A woman asks," me, ""What is history?"" (""So I remember...essay!"")", the friend of her friend if the man that bore her dared to become a jerk,0.0112392127048224,34
206,A woman asks, for name. The man replies. She gives him the name Esther. the woman," me, ""What is history?"" (""So I remember...essay!"")",0.9700637059286237,34
207,A woman asks,": ""What had happened to you during my time at work?"" George asks.", the friend of her friend if the man that bore her dared to become a jerk,0.0005229401867836998,34
208,A woman asks, for name. The man replies. She gives him the name Esther. the woman,": ""What had happened to you during my time at work?"" George asks.",0.9807799784466624,34
209,A woman asks, for name. The man replies. She gives him the name Esther. the woman, the friend of her friend if the man that bore her dared to become a jerk,0.9813029186334461,34
210,"Really, I"," like this movie, amongst other things. It stars twins Emily and Angela. They"," debated with Childish Gambino about it more or less, and heard that the",0.008971571922302357,35
211,"Really, I", had to sit through the entire movie to fully appreciate the humor. I found the," debated with Childish Gambino about it more or less, and heard that the",0.00889819860458374,35
212,"Really, I"," debated with Childish Gambino about it more or less, and heard that the", felt like I've seen some really bad stuff before.<br /><br />,0.988847338478081,35
213,"Really, I"," like this movie, amongst other things. It stars twins Emily and Angela. They", had to sit through the entire movie to fully appreciate the humor. I found the,7.337331771861688e-05,35
214,"Really, I"," like this movie, amongst other things. It stars twins Emily and Angela. They", felt like I've seen some really bad stuff before.<br /><br />,0.9978189104003834,35
215,"Really, I", had to sit through the entire movie to fully appreciate the humor. I found the, felt like I've seen some really bad stuff before.<br /><br />,0.9977455370826648,35
216,I rented this movie about 3, weeks ago and just sat through it. We sat through it the entire night., months ago. I can already picture Frisbee sinking to death with me.,0.9977098317467609,36
217,I rented this movie about 3, weeks ago and just sat through it. We sat through it the entire night.," years ago when I was 10 years old, and just came up for a viewing",0.00026422739028930664,36
218,I rented this movie about 3, weeks ago and just sat through it. We sat through it the entire night., times and I was about to... Lock-Down!!<br /><br,0.9946544682607056,36
219,I rented this movie about 3," years ago when I was 10 years old, and just came up for a viewing", months ago. I can already picture Frisbee sinking to death with me.,0.9974456043564716,36
220,I rented this movie about 3, times and I was about to... Lock-Down!!<br /><br, months ago. I can already picture Frisbee sinking to death with me.,0.0030553634860553004,36
221,I rented this movie about 3," years ago when I was 10 years old, and just came up for a viewing", times and I was about to... Lock-Down!!<br /><br,0.9943902408704163,36
222,:Spoilers:<,"br /><br />The world we live in is heading towards a dangerous,",br /><br />What General Kioro did not know is that perhaps,0.0518460136372596,37
223,:Spoilers:<,br /><br />SPOILERS: I initially expected a lot of unintentional,br /><br />What General Kioro did not know is that perhaps,0.0086647712159902,37
224,:Spoilers:<,br /><br />What General Kioro did not know is that perhaps,br /><br />/least important thing: Crappy cop-hero,0.0016184364212677,37
225,:Spoilers:<,"br /><br />The world we live in is heading towards a dangerous,",br /><br />SPOILERS: I initially expected a lot of unintentional,0.0431812424212694,37
226,:Spoilers:<,"br /><br />The world we live in is heading towards a dangerous,",br /><br />/least important thing: Crappy cop-hero,0.053464450058527305,37
227,:Spoilers:<,br /><br />SPOILERS: I initially expected a lot of unintentional,br /><br />/least important thing: Crappy cop-hero,0.0102832076372579,37
228,I've seen all," kinds of unfortunate images posted, but it pains me to say that there were something"," of them, so I will say one thing: DON'T SEE IT.",0.0004966486012563001,38
229,I've seen all, of the other episodes. I'm surprised not I've made this for other V," kinds of unfortunate images posted, but it pains me to say that there were something",0.9909869417315348,38
230,I've seen all," kinds of unfortunate images posted, but it pains me to say that there were something"," sorts of terrible movies, including this crap. There are some very good ones and",0.0005186467897147001,38
231,I've seen all, of the other episodes. I'm surprised not I've made this for other V," of them, so I will say one thing: DON'T SEE IT.",0.9914835903327911,38
232,I've seen all," of them, so I will say one thing: DON'T SEE IT."," sorts of terrible movies, including this crap. There are some very good ones and",2.1998188458399997e-05,38
233,I've seen all, of the other episodes. I'm surprised not I've made this for other V," sorts of terrible movies, including this crap. There are some very good ones and",0.9915055885212495,38
234,I very much looked forward, to this movie as a way to warm my soul to my genre-defying," to this decision,"" said Kathy Kavanagh, Jennifer Penzone Jr., Valerie",0.00011152029037486688,39
235,I very much looked forward, to this movie as a way to warm my soul to my genre-defying, to having this piece released in Hungary. I looked past the ridiculous platinum box he,0.004963040351867676,39
236,I very much looked forward, to this movie as a way to warm my soul to my genre-defying," to this film, especially seeing the look on its face, considering it is a",0.0004488825798034668,39
237,I very much looked forward," to this decision,"" said Kathy Kavanagh, Jennifer Penzone Jr., Valerie", to having this piece released in Hungary. I looked past the ridiculous platinum box he,0.004851520061492809,39
238,I very much looked forward," to this decision,"" said Kathy Kavanagh, Jennifer Penzone Jr., Valerie"," to this film, especially seeing the look on its face, considering it is a",0.0003373622894285999,39
239,I very much looked forward," to this film, especially seeing the look on its face, considering it is a", to having this piece released in Hungary. I looked past the ridiculous platinum box he,0.004514157772064209,39
240,I have read," a wealth of oral histories concerning the priestesses' sexual behavior, and I had", the Japanese 'Castle of Dracula' or 'Hosenico III' in,0.9290480762720108,40
241,I have read," a wealth of oral histories concerning the priestesses' sexual behavior, and I had"," numerous commentaries, and take note: well, civilization had it's regularly cruel",0.8087244480848311,40
242,I have read, the original essay and what follows is general both content and enthusiastically enjoyable when finished.," a wealth of oral histories concerning the priestesses' sexual behavior, and I had",0.0063626766204836205,40
243,I have read," numerous commentaries, and take note: well, civilization had it's regularly cruel", the Japanese 'Castle of Dracula' or 'Hosenico III' in,0.12032362818717961,40
244,I have read, the original essay and what follows is general both content and enthusiastically enjoyable when finished., the Japanese 'Castle of Dracula' or 'Hosenico III' in,0.9354107528924944,40
245,I have read, the original essay and what follows is general both content and enthusiastically enjoyable when finished.," numerous commentaries, and take note: well, civilization had it's regularly cruel",0.8150871247053147,40
246,As a Southern," accent, the sound is akin to playing a home video station on a quality TV"," spectacle, Border films often include the use of military-style vehicles with welding iron",0.003118753433227428,41
247,As a Southern," accent, the sound is akin to playing a home video station on a quality TV"," theme such as ruin societies tries to stuff an action take or a love story,",0.9969912660308182,41
248,As a Southern," values shock with Hitler's assassination of communists, Stalin Showsly shows love everyone has"," accent, the sound is akin to playing a home video station on a quality TV",0.00043672323226939813,41
249,As a Southern," spectacle, Border films often include the use of military-style vehicles with welding iron"," theme such as ruin societies tries to stuff an action take or a love story,",0.9938725125975908,41
250,As a Southern," values shock with Hitler's assassination of communists, Stalin Showsly shows love everyone has"," spectacle, Border films often include the use of military-style vehicles with welding iron",0.003555476665496826,41
251,As a Southern," values shock with Hitler's assassination of communists, Stalin Showsly shows love everyone has"," theme such as ruin societies tries to stuff an action take or a love story,",0.9974279892630876,41
252,WARNING: This review contains SPOIL,ERS. Readers are advised to recognize this as they may not understand why Holl,"ERS. Very disturbing. If you are a terrified and terrified person, bye,",0.0046912532998249,42
253,WARNING: This review contains SPOIL,ERS! <br /><br />Dr Marching travels down the river to,"ERS. Very disturbing. If you are a terrified and terrified person, bye,",0.9869851585244761,42
254,WARNING: This review contains SPOIL,"ERS For people who still haven't clicked on Sam Shamrock's ""The Firm","ERS. Very disturbing. If you are a terrified and terrified person, bye,",0.9762218709802257,42
255,WARNING: This review contains SPOIL,ERS! <br /><br />Dr Marching travels down the river to,ERS. Readers are advised to recognize this as they may not understand why Holl,0.9822939052246512,42
256,WARNING: This review contains SPOIL,"ERS For people who still haven't clicked on Sam Shamrock's ""The Firm",ERS. Readers are advised to recognize this as they may not understand why Holl,0.9715306176804008,42
257,WARNING: This review contains SPOIL,ERS! <br /><br />Dr Marching travels down the river to,"ERS For people who still haven't clicked on Sam Shamrock's ""The Firm",0.010763287544250377,42
258,As a kid I did," take in this film, but it was by far the best film I had seen", watch the movie with my parents and had a deep sense of humor and even though,0.0004322528839111328,43
259,As a kid I did," take in this film, but it was by far the best film I had seen", not see Frankenstein looking so cute but still that made me smile.<br /><,0.0003883242607115589,43
260,As a kid I did," take in this film, but it was by far the best film I had seen"," think of it as Pulp Fiction, but well what met the first level of",0.002244591712951549,43
261,As a kid I did, not see Frankenstein looking so cute but still that made me smile.<br /><, watch the movie with my parents and had a deep sense of humor and even though,4.392862319957391e-05,43
262,As a kid I did, watch the movie with my parents and had a deep sense of humor and even though," think of it as Pulp Fiction, but well what met the first level of",0.0018123388290404163,43
263,As a kid I did, not see Frankenstein looking so cute but still that made me smile.<br /><," think of it as Pulp Fiction, but well what met the first level of",0.0018562674522399902,43
264,Jill, was able to fan the flames of love through her disdain for Jess. His agent,um Play Theatre that makes you mad. It is very slow and irritating - you,0.9980142736458221,44
265,Jill, was able to fan the flames of love through her disdain for Jess. His agent,"igan said we could find far too many things wrong with this film, which some",0.997950190678239,44
266,Jill, was able to fan the flames of love through her disdain for Jess. His agent,erson (Aaron Keller.) TINKTTIST consists of this film as Ballard's,0.9783733543008567,44
267,Jill,"igan said we could find far too many things wrong with this film, which some",um Play Theatre that makes you mad. It is very slow and irritating - you,6.408296758310004e-05,44
268,Jill,erson (Aaron Keller.) TINKTTIST consists of this film as Ballard's,um Play Theatre that makes you mad. It is very slow and irritating - you,0.0196409193449654,44
269,Jill,erson (Aaron Keller.) TINKTTIST consists of this film as Ballard's,"igan said we could find far too many things wrong with this film, which some",0.0195768363773823,44
270,This movie sucked.," I even saw the final 2 minutes too early. The sword fight sequence of """, Stupid things happen and misunderstandings happen.<br /><br />My friends and,4.0610320866000605e-06,45
271,This movie sucked.," I even saw the final 2 minutes too early. The sword fight sequence of """, This movie just left me feeling useless as to what if this was O.K,8.495291695000042e-06,45
272,This movie sucked.," I even saw the final 2 minutes too early. The sword fight sequence of """, The acting and plot didn't keep pace with what they were supposed to in the,1.427216921000003e-05,45
273,This movie sucked., Stupid things happen and misunderstandings happen.<br /><br />My friends and, This movie just left me feeling useless as to what if this was O.K,4.434259608399982e-06,45
274,This movie sucked., Stupid things happen and misunderstandings happen.<br /><br />My friends and, The acting and plot didn't keep pace with what they were supposed to in the,1.021113712339997e-05,45
275,This movie sucked., This movie just left me feeling useless as to what if this was O.K, The acting and plot didn't keep pace with what they were supposed to in the,5.7768775149999885e-06,45
276,Lifetime did it again," and just saw it again during an extended Tour in Badlands, France! As",. Grayson (Carl Gustafson) has seen enough of Nemanja to,0.016319215297698975,46
277,Lifetime did it again," and just saw it again during an extended Tour in Badlands, France! As"," this week. And I promise that if your going to watch the whole thing,",0.00021028518676757812,46
278,Lifetime did it again," and just saw it again during an extended Tour in Badlands, France! As",".<br /><br />Sadly, a chief street vendor swears by the",0.9971523488638923,46
279,Lifetime did it again," this week. And I promise that if your going to watch the whole thing,",. Grayson (Carl Gustafson) has seen enough of Nemanja to,0.016108930110931396,46
280,Lifetime did it again,. Grayson (Carl Gustafson) has seen enough of Nemanja to,".<br /><br />Sadly, a chief street vendor swears by the",0.9808331335661933,46
281,Lifetime did it again," this week. And I promise that if your going to watch the whole thing,",".<br /><br />Sadly, a chief street vendor swears by the",0.9969420636771247,46
282,I have to say," there are an awful lot of good episodes here, and nothing makes me want to", this is the first character that falls into the stereotypical role of an Iraqi war prisoner,0.0015085784252733,47
283,I have to say, that is elementary school physical education raised students mentally rote and this achievement in Swedish, this is the first character that falls into the stereotypical role of an Iraqi war prisoner,0.997620082460344,47
284,I have to say, that I love these are my faves now. Highly recommended.<|endoftext|>, this is the first character that falls into the stereotypical role of an Iraqi war prisoner,0.9982978468760849,47
285,I have to say, that is elementary school physical education raised students mentally rote and this achievement in Swedish," there are an awful lot of good episodes here, and nothing makes me want to",0.9961115040350706,47
286,I have to say, that I love these are my faves now. Highly recommended.<|endoftext|>," there are an awful lot of good episodes here, and nothing makes me want to",0.9967892684508116,47
287,I have to say, that I love these are my faves now. Highly recommended.<|endoftext|>, that is elementary school physical education raised students mentally rote and this achievement in Swedish,0.0006777644157409668,47
288,The original," being a common misconception, most Indians agree that Kathy Bates and Charlie Daniels made fairly", idea was devised on the back of a tin pen and advertises that it's,0.9959387795533986,48
289,The original," being a common misconception, most Indians agree that Kathy Bates and Charlie Daniels made fairly"," Donnie/Jackal, we now learn he was not the real Jack Well",0.9909024434164166,48
290,The original," being a common misconception, most Indians agree that Kathy Bates and Charlie Daniels made fairly", appearance of the actress who plays Girlfriend is something that still carries the viewer as,0.00037491321563720703,48
291,The original," Donnie/Jackal, we now learn he was not the real Jack Well", idea was devised on the back of a tin pen and advertises that it's,0.0050363361369818995,48
292,The original, appearance of the actress who plays Girlfriend is something that still carries the viewer as, idea was devised on the back of a tin pen and advertises that it's,0.9955638663377614,48
293,The original, appearance of the actress who plays Girlfriend is something that still carries the viewer as," Donnie/Jackal, we now learn he was not the real Jack Well",0.9905275302007794,48
294,The annoying mouse and, the helmets is best got some laughs too. Mostly because the film starts abruptly., plot problems are the only business reason I could.<|endoftext|>,0.0003846265608445001,49
295,The annoying mouse and, the helmets is best got some laughs too. Mostly because the film starts abruptly., brain warfare are so spaced out that they are rendered soon in flashback. The only,0.00043154438026250005,49
296,The annoying mouse and, the rib cage bugs being the first of many problems.<br /><br />, the helmets is best got some laughs too. Mostly because the film starts abruptly.,0.0008623624453321,49
297,The annoying mouse and, plot problems are the only business reason I could.<|endoftext|>, brain warfare are so spaced out that they are rendered soon in flashback. The only,4.691781941799998e-05,49
298,The annoying mouse and, the rib cage bugs being the first of many problems.<br /><br />, plot problems are the only business reason I could.<|endoftext|>,0.0012469890061766,49
299,The annoying mouse and, the rib cage bugs being the first of many problems.<br /><br />, brain warfare are so spaced out that they are rendered soon in flashback. The only,0.0012939068255946001,49
300,I saw this film opening weekend in," Dallas and was totally lost in the next life. The aspiring actors, who knew", the theatre because I was so soaked up like I was in a f**ing,0.9918782756431028,50
301,I saw this film opening weekend in, my select window and it ended up closing someone else's film around the same time, the theatre because I was so soaked up like I was in a f**ing,0.0016275407979265,50
302,I saw this film opening weekend in, the theatre because I was so soaked up like I was in a f**ing, NYC and within minutes I realized that its cut up about 20 years before I would,0.0003605821402743,50
303,I saw this film opening weekend in," Dallas and was totally lost in the next life. The aspiring actors, who knew", my select window and it ended up closing someone else's film around the same time,0.9902507348451762,50
304,I saw this film opening weekend in," Dallas and was totally lost in the next life. The aspiring actors, who knew", NYC and within minutes I realized that its cut up about 20 years before I would,0.9922388577833771,50
305,I saw this film opening weekend in, my select window and it ended up closing someone else's film around the same time, NYC and within minutes I realized that its cut up about 20 years before I would,0.0019881229382008,50
306,I saw this at the premiere, with my friends. I had never seen such a wonderful scene! Being an older,", Starwatch pre-season, about two years prior, and laughed hysterically",0.001089930534362793,51
307,I saw this at the premiere, with an agent from Touchstone International who asked me if I'd watch it.,", Starwatch pre-season, about two years prior, and laughed hysterically",0.00047487020492564813,51
308,I saw this at the premiere,", Starwatch pre-season, about two years prior, and laughed hysterically"," of 'Capt. Niceville: The War of the Worlds,' which involved a",0.0008234381675720215,51
309,I saw this at the premiere, with my friends. I had never seen such a wonderful scene! Being an older, with an agent from Touchstone International who asked me if I'd watch it.,0.0006150603294371448,51
310,I saw this at the premiere, with my friends. I had never seen such a wonderful scene! Being an older," of 'Capt. Niceville: The War of the Worlds,' which involved a",0.0019133687019348145,51
311,I saw this at the premiere, with an agent from Touchstone International who asked me if I'd watch it.," of 'Capt. Niceville: The War of the Worlds,' which involved a",0.0012983083724976696,51
312,Ned Kelly (,Hekto Ware) and his team perform by transcending 9 levels and and,drummer/apyrology degree from the University of Virginia) and his merry men,0.005803465843200573,52
313,Ned Kelly (,drummer/apyrology degree from the University of Virginia) and his merry men,"not funny). Ya gotta admit, I didn't really know his name. But",0.9923113974509762,52
314,Ned Kelly (,Colby J. Watson) and Margaret (Peggy Mills) help a group,drummer/apyrology degree from the University of Virginia) and his merry men,0.003679633140563965,52
315,Ned Kelly (,Hekto Ware) and his team perform by transcending 9 levels and and,"not funny). Ya gotta admit, I didn't really know his name. But",0.9981148632941768,52
316,Ned Kelly (,Hekto Ware) and his team perform by transcending 9 levels and and,Colby J. Watson) and Margaret (Peggy Mills) help a group,0.0021238327026366077,52
317,Ned Kelly (,Colby J. Watson) and Margaret (Peggy Mills) help a group,"not funny). Ya gotta admit, I didn't really know his name. But",0.9959910305915401,52
318,They constructed this one as a, teenage comedy based on nature and honoring gold standard of acting in it as part of," ongoing hugely successful doozy, but it conditions me to agree with my friend.",0.00033551454544078485,53
319,They constructed this one as a, teenage comedy based on nature and honoring gold standard of acting in it as part of," continuation of Joanna Brackman's attention to detail, and boast that the",0.01684820652008079,53
320,They constructed this one as a, teenage comedy based on nature and honoring gold standard of acting in it as part of," shot, instead of the raw, yet enchanting way the earth might work.",0.9981047773617322,53
321,They constructed this one as a," ongoing hugely successful doozy, but it conditions me to agree with my friend."," continuation of Joanna Brackman's attention to detail, and boast that the",0.016512691974640004,53
322,They constructed this one as a," ongoing hugely successful doozy, but it conditions me to agree with my friend."," shot, instead of the raw, yet enchanting way the earth might work.",0.9977692628162914,53
323,They constructed this one as a," continuation of Joanna Brackman's attention to detail, and boast that the"," shot, instead of the raw, yet enchanting way the earth might work.",0.9812565708416514,53
324,This has to be, the best in the League of Legends series. Dead Milk gets like Ail'," the best case scenario in the whole movie which I'm sorry, but isn't",0.996775859151967,54
325,This has to be, the best in the League of Legends series. Dead Milk gets like Ail', one of the worst movies I've ever seen and tragically it has become junk.,0.9979084890801461,54
326,This has to be, my favourite movie of all time. The acting hardly changes but the character overall has, the best in the League of Legends series. Dead Milk gets like Ail',0.00043022632598888055,54
327,This has to be," the best case scenario in the whole movie which I'm sorry, but isn't", one of the worst movies I've ever seen and tragically it has become junk.,0.0011326299281791,54
328,This has to be, my favourite movie of all time. The acting hardly changes but the character overall has," the best case scenario in the whole movie which I'm sorry, but isn't",0.9972060854779559,54
329,This has to be, my favourite movie of all time. The acting hardly changes but the character overall has, one of the worst movies I've ever seen and tragically it has become junk.,0.998338715406135,54
330,If the term itself were," such a crude term but that is where a movie is appropriate, if not essential"," just a ""healthcare"" product, see ""Workstation Last Stand"" for",0.9800734352320434,55
331,If the term itself were," such a crude term but that is where a movie is appropriate, if not essential"," not used, a lot of the strength of the David vs. Goliath confrontation",0.9841897957958283,55
332,If the term itself were," such a crude term but that is where a movie is appropriate, if not essential"," so obscure, pointless and unforgivable that it made me laugh the second time",0.9885217181290501,55
333,If the term itself were," just a ""healthcare"" product, see ""Workstation Last Stand"" for"," not used, a lot of the strength of the David vs. Goliath confrontation",0.004116360563784901,55
334,If the term itself were," just a ""healthcare"" product, see ""Workstation Last Stand"" for"," so obscure, pointless and unforgivable that it made me laugh the second time",0.008448282897006701,55
335,If the term itself were," not used, a lot of the strength of the David vs. Goliath confrontation"," so obscure, pointless and unforgivable that it made me laugh the second time",0.004331922333221799,55
336,This movie, should be priced amazingly low. Didn't like all their reasons for investing so much, has gotten the worst rating from critics on IMDb who rate it as sick and,1.0275980457700074e-05,56
337,This movie, is highly disturbing and I wish it took a little longer since it addresses topics that, should be priced amazingly low. Didn't like all their reasons for investing so much,0.9967799349687995,56
338,This movie, won board awards. Very good even if there were not any recent Oscar winning films, should be priced amazingly low. Didn't like all their reasons for investing so much,0.9983466430567205,56
339,This movie, is highly disturbing and I wish it took a little longer since it addresses topics that, has gotten the worst rating from critics on IMDb who rate it as sick and,0.9967902109492572,56
340,This movie, won board awards. Very good even if there were not any recent Oscar winning films, has gotten the worst rating from critics on IMDb who rate it as sick and,0.9983569190371783,56
341,This movie, won board awards. Very good even if there were not any recent Oscar winning films, is highly disturbing and I wish it took a little longer since it addresses topics that,0.0015667080879210316,56
342,This movie never made it to, the big screen or he did after the best of intentions! I particularly like the, the theaters and expectations were met with barely a laugh. The only redeeming feature,0.9950437348452398,57
343,This movie never made it to, the big screen or he did after the best of intentions! I particularly like the," the big screen, but it was discovered on an early edition of DVD, with",0.004096090793609619,57
344,This movie never made it to, the big screen or he did after the best of intentions! I particularly like the," the big screen, only since the DVD release did the run time is still much",0.9944634115090595,57
345,This movie never made it to," the big screen, but it was discovered on an early edition of DVD, with", the theaters and expectations were met with barely a laugh. The only redeeming feature,0.9909476440516302,57
346,This movie never made it to," the big screen, only since the DVD release did the run time is still much", the theaters and expectations were met with barely a laugh. The only redeeming feature,0.0005803233361803,57
347,This movie never made it to," the big screen, but it was discovered on an early edition of DVD, with"," the big screen, only since the DVD release did the run time is still much",0.9903673207154499,57
348,I thought this was a very," funny porn movie that was bad and laughable, but the movie got away with it"," worst film"".<br /><br />I thought Lynch was a very creepy",0.00034656253410500005,58
349,I thought this was a very," funny porn movie that was bad and laughable, but the movie got away with it"," sloppy, motion stalling movie by the way. Basically we spend the movie as",0.00036566547350960006,58
350,I thought this was a very," well executed match really.<br /><br />EDIT, as you have been"," funny porn movie that was bad and laughable, but the movie got away with it",0.998011042305734,58
351,I thought this was a very," worst film"".<br /><br />I thought Lynch was a very creepy"," sloppy, motion stalling movie by the way. Basically we spend the movie as",1.9102939404600015e-05,58
352,I thought this was a very," well executed match really.<br /><br />EDIT, as you have been"," worst film"".<br /><br />I thought Lynch was a very creepy",0.9983576048398389,58
353,I thought this was a very," well executed match really.<br /><br />EDIT, as you have been"," sloppy, motion stalling movie by the way. Basically we spend the movie as",0.9983767077792436,58
354,Ned a,"rived like an excuse to wear white, sir.<|endoftext|>", whole other suspect may have been at fault. Generally speaking these people had no connection,0.0032001681393013003,59
355,Ned a,"rived like an excuse to wear white, sir.<|endoftext|>"," good German romance, it is hard to feel all that dubious affection for it.",0.0011030938476324003,59
356,Ned a, good rating!<|endoftext|>,"rived like an excuse to wear white, sir.<|endoftext|>",0.9944853493943812,59
357,Ned a," good German romance, it is hard to feel all that dubious affection for it.", whole other suspect may have been at fault. Generally speaking these people had no connection,0.0020970742916689,59
358,Ned a, good rating!<|endoftext|>, whole other suspect may have been at fault. Generally speaking these people had no connection,0.9976855175336825,59
359,Ned a, good rating!<|endoftext|>," good German romance, it is hard to feel all that dubious affection for it.",0.9955884432420136,59
360,"From the very beginning,", the two characters soldier a chess game regarding chess with Chamis Vega and send a, Ian awaits his going off with an ex lover at the start of the movie.<,0.9832525271922351,60
361,"From the very beginning,", the two characters soldier a chess game regarding chess with Chamis Vega and send a, Stinger has enough. Step in the Grails 5 and you'll pitch the,0.9926687646657231,60
362,"From the very beginning,", the two characters soldier a chess game regarding chess with Chamis Vega and send a, this movie throws in a whole raft of cringe worthy talking heads like Keith Moon and,0.9950790698057973,60
363,"From the very beginning,", Ian awaits his going off with an ex lover at the start of the movie.<, Stinger has enough. Step in the Grails 5 and you'll pitch the,0.009416237473487899,60
364,"From the very beginning,", Ian awaits his going off with an ex lover at the start of the movie.<, this movie throws in a whole raft of cringe worthy talking heads like Keith Moon and,0.0118265426135622,60
365,"From the very beginning,", Stinger has enough. Step in the Grails 5 and you'll pitch the, this movie throws in a whole raft of cringe worthy talking heads like Keith Moon and,0.0024103051400743,60
366,I guess, you could say you have something to be proud of!! Anyway So I got the, the mafia's allies haven't seen the hand of the Presbyterians before; they,0.9805760616436602,61
367,I guess, you could say you have something to be proud of!! Anyway So I got the, I kept that 'geek thing in my head' as well. But leave,0.9758324050344527,61
368,I guess, you could say you have something to be proud of!! Anyway So I got the, `Rainbows' is meant to be symbolic as opposed to being a movie.,0.9815462386468427,61
369,I guess, I kept that 'geek thing in my head' as well. But leave, the mafia's allies haven't seen the hand of the Presbyterians before; they,0.0047436566092074,61
370,I guess, the mafia's allies haven't seen the hand of the Presbyterians before; they, `Rainbows' is meant to be symbolic as opposed to being a movie.,0.0009701770031824999,61
371,I guess, I kept that 'geek thing in my head' as well. But leave, `Rainbows' is meant to be symbolic as opposed to being a movie.,0.005713833612389901,61
372,I don't, mind toolessly carousing comments on the disc so I'll save myself the trouble," think that they could ever really learn from this one it just got to me,",0.0033135886769742,62
373,I don't, mind toolessly carousing comments on the disc so I'll save myself the trouble, know what the role really is known upon. But I don't know whether Mr,0.0018351636826992,62
374,I don't, mind toolessly carousing comments on the disc so I'll save myself the trouble, know what else - get absorbed in believing in saccharine ceremonies. But the,0.0018595978617668,62
375,I don't, know what the role really is known upon. But I don't know whether Mr," think that they could ever really learn from this one it just got to me,",0.0014784249942749999,62
376,I don't, know what else - get absorbed in believing in saccharine ceremonies. But the," think that they could ever really learn from this one it just got to me,",0.0014539908152074,62
377,I don't, know what the role really is known upon. But I don't know whether Mr, know what else - get absorbed in believing in saccharine ceremonies. But the,2.4434179067599985e-05,62
378,This movie was awful.," Zoe Saldana was particularly awful. Not ""awful"", but trying to"," It doesn't take itself too seriously, doesn't make every sex scene that it",2.7349451557000205e-06,63
379,This movie was awful.," Zoe Saldana was particularly awful. Not ""awful"", but trying to"," The movie was much worse. Normally, I watch bad movies but this heinous vil",4.4866465029997325e-07,63
380,This movie was awful.," Zoe Saldana was particularly awful. Not ""awful"", but trying to", I can't believe that people like this kid can get (black kids) in,3.187276888600029e-06,63
381,This movie was awful.," The movie was much worse. Normally, I watch bad movies but this heinous vil"," It doesn't take itself too seriously, doesn't make every sex scene that it",2.2862805054000472e-06,63
382,This movie was awful.," It doesn't take itself too seriously, doesn't make every sex scene that it", I can't believe that people like this kid can get (black kids) in,4.523317329000083e-07,63
383,This movie was awful.," The movie was much worse. Normally, I watch bad movies but this heinous vil", I can't believe that people like this kid can get (black kids) in,2.7386122383000555e-06,63
384,Holy crap,","" says one viewer, *considering the luminaries who cast Lewis it most"," like that when anyone can justify NOTOTHER THats ""epic""?<br",0.0012740520760417002,64
385,Holy crap,","" says one viewer, *considering the luminaries who cast Lewis it most",. This movie had no plot. The one important thing about this movie was that,0.0061810135375708,64
386,Holy crap,"."" Truman and Bean shared a love triangle of their day-to-day lives",","" says one viewer, *considering the luminaries who cast Lewis it most",0.991936063859612,64
387,Holy crap," like that when anyone can justify NOTOTHER THats ""epic""?<br",. This movie had no plot. The one important thing about this movie was that,0.0049069614615291,64
388,Holy crap,"."" Truman and Bean shared a love triangle of their day-to-day lives"," like that when anyone can justify NOTOTHER THats ""epic""?<br",0.9932101159356537,64
389,Holy crap,"."" Truman and Bean shared a love triangle of their day-to-day lives",. This movie had no plot. The one important thing about this movie was that,0.9981170773971827,64
390,SWING," ""winner of the USA's Hammer Magazine"" Pakistan Film Festival Critics Members Hall Exhibit"," WIDOW is about the obsessive, irrationally superior erotic of bored,",0.001723945140838512,65
391,SWING," WIDOW is about the obsessive, irrationally superior erotic of bored,"," AWAY"" - I won't spoil it for you.<|endoftext|>",0.9851380540058018,65
392,SWING," WIDOW is about the obsessive, irrationally superior erotic of bored,", MOMENTS<|endoftext|>,0.006555676460266224,65
393,SWING," ""winner of the USA's Hammer Magazine"" Pakistan Film Festival Critics Members Hall Exhibit"," AWAY"" - I won't spoil it for you.<|endoftext|>",0.9868619991466403,65
394,SWING," ""winner of the USA's Hammer Magazine"" Pakistan Film Festival Critics Members Hall Exhibit", MOMENTS<|endoftext|>,0.008279621601104736,65
395,SWING, MOMENTS<|endoftext|>," AWAY"" - I won't spoil it for you.<|endoftext|>",0.9785823775455356,65
